"resistance_id","resistance","contact_material_1_id","contact_material_2_id","mat_1_ra","mat_2_ra","mat_1_rz","mat_2_rz","mat_1_rsm","mat_2_rsm","mat_1_rmr","mat_2_rmr","ambient_pressure","interface_temperature","contact_pressure","heat_flux","description","ref_id"
106,37.466,10,10,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,2225920.0,0.0,稳态法,5
107,35.0332,10,10,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,2661120.0,0.0,稳态法,5
108,33.51,10,10,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,3096310.0,0.0,稳态法,5
109,32.0184,10,10,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,3524380.0,0.0,稳态法,5
110,31.3214,10,10,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,3973840.0,0.0,稳态法,5
111,30.9175,10,10,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,4373360.0,0.0,稳态法,5
112,30.4378,10,10,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,4844230.0,0.0,稳态法,5
113,30.0982,10,10,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,5293700.0,0.0,稳态法,5
114,215.804,9,9,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,470868.0,0.0,稳态法,5
115,157.521,9,9,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,898930.0,0.0,稳态法,5
116,117.926,9,9,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,1334130.0,0.0,稳态法,5
117,98.0928,9,9,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,1762190.0,0.0,稳态法,5
118,82.368,9,9,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,2204520.0,0.0,稳态法,5
119,72.9068,9,9,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,2653980.0,0.0,稳态法,5
120,65.9952,9,9,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,3082050.0,0.0,稳态法,5
121,59.2869,9,9,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,3495840.0,0.0,稳态法,5
122,56.7906,9,9,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,3966710.0,0.0,稳态法,5
123,54.7726,9,9,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,4401900.0,0.0,稳态法,5
124,53.285,9,9,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,4844230.0,0.0,稳态法,5
125,51.876,9,9,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,5286560.0,0.0,稳态法,5
126,215.804,11,11,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,428062.0,0.0,稳态法,5
127,158.68,11,11,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,941736.0,0.0,稳态法,5
128,135.726,11,11,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,1334130.0,0.0,稳态法,5
129,117.285,11,11,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,1776460.0,0.0,稳态法,5
130,106.834,11,11,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,2225920.0,0.0,稳态法,5
131,97.2091,11,11,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,2646850.0,0.0,稳态法,5
132,92.6198,11,11,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,3089180.0,0.0,稳态法,5
133,89.1753,11,11,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,3531510.0,0.0,稳态法,5
134,86.3217,11,11,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,3966710.0,0.0,稳态法,5
135,84.2985,11,11,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,4423310.0,0.0,稳态法,5
136,83.3221,11,11,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,4844230.0,0.0,稳态法,5
137,81.744,11,11,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,5279430.0,0.0,稳态法,5
138,105.236,9,4,0.000001,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,505576.0,0.0,稳态法,5
139,91.4943,9,4,0.000001,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,892193.0,0.0,稳态法,5
140,79.0054,9,4,0.000001,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,1338290.0,0.0,稳态法,5
141,70.0653,9,4,0.000001,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,1776950.0,0.0,稳态法,5
142,62.4996,9,4,0.000001,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,2193310.0,0.0,稳态法,5
143,55.3531,9,4,0.000001,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,2654280.0,0.0,稳态法,5
144,50.3305,9,4,0.000001,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,3092940.0,0.0,稳态法,5
145,45.5125,9,4,0.000001,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,3516730.0,0.0,稳态法,5
146,42.2616,9,4,0.000001,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,3962830.0,0.0,稳态法,5
147,39.6203,9,4,0.000001,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,4423790.0,0.0,稳态法,5
148,38.0355,9,4,0.000001,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,4855020.0,0.0,稳态法,5
149,37.447,9,4,0.000001,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,5301120.0,0.0,稳态法,5
150,451.268,9,4,0.000014,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,460967.0,0.0,稳态法,5
151,403.407,9,4,0.000014,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,892193.0,0.0,稳态法,5
